domain_id,role,opponent,opponent_seen,meta_agent_choice,meta_agent_score,meta_agent_utility,meta_agent_nash,oracle_choice,oracle_score,oracle_utility,oracle_nash,avgbest_score,meta_agrees_oracle,score_AspirationNegotiator,utility_AspirationNegotiator,nash_AspirationNegotiator,score_BoulwareTBNegotiator,utility_BoulwareTBNegotiator,nash_BoulwareTBNegotiator,score_NaiveTitForTatNegotiator,utility_NaiveTitForTatNegotiator,nash_NaiveTitForTatNegotiator,score_TimeBasedConcedingNegotiator,utility_TimeBasedConcedingNegotiator,nash_TimeBasedConcedingNegotiator,score_BOA_Boulware,utility_BOA_Boulware,nash_BOA_Boulware
domain36,A,TimeBasedConcedingNegotiator,True,NaiveTitForTatNegotiator,0.8689939036000001,1.0,0.5633130120000001,NaiveTitForTatNegotiator,0.8689939036000001,1.0,0.5633130120000001,0.598780556065793,True,0.4637852506447668,0.5311185614,0.30667419221588926,0.4637852506447668,0.5311185614,0.30667419221588926,0.8689939036000001,1.0,0.5633130120000001,0.4637852506447668,0.5311185614,0.30667419221588926,0.7335531247946644,0.7886830857999999,0.6049165491155484
domain36,A,BOA_Boulware,True,NaiveTitForTatNegotiator,0.745621690682984,0.7870448733999998,0.6489675976766135,AspirationNegotiator,0.745621690682984,0.7870448733999998,0.6489675976766135,0.6538106836986026,False,0.745621690682984,0.7870448733999998,0.6489675976766135,0.745621690682984,0.7870448733999998,0.6489675976766135,0.745621690682984,0.7870448733999998,0.6489675976766135,0.745621690682984,0.7870448733999998,0.6489675976766135,0.28656665576107687,0.33029992259999996,0.18452236647025627
domain36,A,LinearTBNegotiator,True,NaiveTitForTatNegotiator,0.8574109571281916,0.9474833662,0.6472420026273057,AspirationNegotiator,0.8574109571281916,0.9474833662,0.6472420026273057,0.8523518491467241,False,0.8574109571281916,0.9474833662,0.6472420026273057,0.8574109571281916,0.9474833662,0.6472420026273057,0.8574109571281916,0.9474833662,0.6472420026273057,0.8574109571281916,0.9474833662,0.6472420026273057,0.8321154172208544,0.9196546785999999,0.6278571406695146
domain36,A,ConcederTBNegotiator,True,NaiveTitForTatNegotiator,0.8560613377889409,0.9761127321999999,0.5759414174964697,AspirationNegotiator,0.8689939036000001,1.0,0.5633130120000001,0.8664073904377881,False,0.8689939036000001,1.0,0.5633130120000001,0.8689939036000001,1.0,0.5633130120000001,0.8560613377889409,0.9761127321999999,0.5759414174964697,0.8689939036000001,1.0,0.5633130120000001,0.8689939036000001,1.0,0.5633130120000001
domain36,A,BOA_Hardliner,True,NaiveTitForTatNegotiator,0.8689939036000001,1.0,0.5633130120000001,NaiveTitForTatNegotiator,0.8689939036000001,1.0,0.5633130120000001,0.4706553674789976,True,0.45003072416947987,0.48912714620000003,0.35880573943159944,0.45003072416947987,0.48912714620000003,0.35880573943159944,0.8689939036000001,1.0,0.5633130120000001,0.45003072416947987,0.48912714620000003,0.35880573943159944,0.13419076128654858,0.1416717481,0.11673512538849531
domain36,A,BOA_Conceder,True,NaiveTitForTatNegotiator,0.7774930640179067,0.8686889499999999,0.5647026633930228,NaiveTitForTatNegotiator,0.7774930640179067,0.8686889499999999,0.5647026633930228,0.5272872125054271,True,0.46473574962730724,0.65453,0.021882498757690997,0.46473574962730724,0.65453,0.021882498757690997,0.7774930640179067,0.8686889499999999,0.5647026633930228,0.46473574962730724,0.65453,0.021882498757690997,0.46473574962730724,0.65453,0.021882498757690997
domain36,A,BOA_Moderate,True,NaiveTitForTatNegotiator,0.8689939036000001,1.0,0.5633130120000001,NaiveTitForTatNegotiator,0.8689939036000001,1.0,0.5633130120000001,0.5455873804218457,True,0.46473574962730724,0.65453,0.021882498757690997,0.46473574962730724,0.65453,0.021882498757690997,0.8689939036000001,1.0,0.5633130120000001,0.46473574962730724,0.65453,0.021882498757690997,0.46473574962730724,0.65453,0.021882498757690997
domain36,A,MiCRONegotiator,False,NaiveTitForTatNegotiator,0.32799999999999996,0.4,0.16000000000000003,BoulwareTBNegotiator,0.4711153991170567,0.4865070982,0.4352014345901889,0.3509181678892031,False,0.32799999999999996,0.4,0.16000000000000003,0.4711153991170567,0.4865070982,0.4352014345901889,0.32799999999999996,0.4,0.16000000000000003,0.4711153991170567,0.4865070982,0.4352014345901889,0.15636004121190222,0.16096917989999998,0.1456053842730075
domain36,A,NiceNegotiator,False,NaiveTitForTatNegotiator,0.8689939036000001,1.0,0.5633130120000001,AspirationNegotiator,0.8689939036000001,1.0,0.5633130120000001,0.8689939036000001,False,0.8689939036000001,1.0,0.5633130120000001,0.8689939036000001,1.0,0.5633130120000001,0.8689939036000001,1.0,0.5633130120000001,0.8689939036000001,1.0,0.5633130120000001,0.8689939036000001,1.0,0.5633130120000001
domain36,A,RandomNegotiator,False,NaiveTitForTatNegotiator,0.8689939036000001,1.0,0.5633130120000001,BoulwareTBNegotiator,0.8689939036000001,1.0,0.5633130120000001,0.6525963421600001,False,0.32799999999999996,0.4,0.16000000000000003,0.8689939036000001,1.0,0.5633130120000001,0.8689939036000001,1.0,0.5633130120000001,0.32799999999999996,0.4,0.16000000000000003,0.8689939036000001,1.0,0.5633130120000001
domain36,A,ToughNegotiator,False,NaiveTitForTatNegotiator,0.32799999999999996,0.4,0.16000000000000003,AspirationNegotiator,0.32799999999999996,0.4,0.16000000000000003,0.30232944974,False,0.32799999999999996,0.4,0.16000000000000003,0.32799999999999996,0.4,0.16000000000000003,0.32799999999999996,0.4,0.16000000000000003,0.32799999999999996,0.4,0.16000000000000003,0.1996472487,0.19964724869999997,0.19964724869999997
domain36,A,SimpleTitForTatNegotiator,False,NaiveTitForTatNegotiator,0.32799999999999996,0.4,0.16000000000000003,BOA_Boulware,0.7335531247946644,0.7886830857999999,0.6049165491155484,0.40911062495893286,False,0.32799999999999996,0.4,0.16000000000000003,0.32799999999999996,0.4,0.16000000000000003,0.32799999999999996,0.4,0.16000000000000003,0.32799999999999996,0.4,0.16000000000000003,0.7335531247946644,0.7886830857999999,0.6049165491155484
domain36,A,TopFractionNegotiator,False,NaiveTitForTatNegotiator,0.745621690682984,0.7870448733999998,0.6489675976766135,TimeBasedConcedingNegotiator,0.8901033171331445,0.9397148733999999,0.7743430191771483,0.5200259297261784,False,0.32799999999999996,0.4,0.16000000000000003,0.32799999999999996,0.4,0.16000000000000003,0.745621690682984,0.7870448733999998,0.6489675976766135,0.8901033171331445,0.9397148733999999,0.7743430191771483,0.3084046408147638,0.3120009675,0.3000132118825462
