domain_id,role,opponent,opponent_seen,agent,utility,opp_utility,nash,score,agreement
domain00,A,SimpleTitForTatNegotiator,False,AspirationNegotiator,0.4,0.4,0.16000000000000003,0.32799999999999996,False
domain00,A,SimpleTitForTatNegotiator,False,BoulwareTBNegotiator,0.5872007999,0.759026922,0.4457012157440349,0.5447509246532104,True
domain00,A,SimpleTitForTatNegotiator,False,NaiveTitForTatNegotiator,0.4,0.4,0.16000000000000003,0.32799999999999996,False
domain00,A,SimpleTitForTatNegotiator,False,TimeBasedConcedingNegotiator,0.5872007999,0.759026922,0.4457012157440349,0.5447509246532104,True
domain00,A,SimpleTitForTatNegotiator,False,BOA_Boulware,0.2273268976,1.0,0.2273268976,0.22732689760000002,True
domain00,A,TopFractionNegotiator,False,AspirationNegotiator,0.4,0.4,0.16000000000000003,0.32799999999999996,False
domain00,A,TopFractionNegotiator,False,BoulwareTBNegotiator,0.5872007999,0.759026922,0.4457012157440349,0.5447509246532104,True
domain00,A,TopFractionNegotiator,False,NaiveTitForTatNegotiator,0.4,0.4,0.16000000000000003,0.32799999999999996,False
domain00,A,TopFractionNegotiator,False,TimeBasedConcedingNegotiator,0.5872007999,0.759026922,0.4457012157440349,0.5447509246532104,True
domain00,A,TopFractionNegotiator,False,BOA_Boulware,0.31782661,0.763735263,0.24273538957674845,0.29529924387302453,True
domain00,A,FirstOfferOrientedTBNegotiator,False,AspirationNegotiator,0.5799918415,0.5686656948,0.32982146352492897,0.5049407281074787,True
domain00,A,FirstOfferOrientedTBNegotiator,False,BoulwareTBNegotiator,0.5872007999,0.759026922,0.4457012157440349,0.5447509246532104,True
domain00,A,FirstOfferOrientedTBNegotiator,False,NaiveTitForTatNegotiator,0.4,0.4,0.16000000000000003,0.32799999999999996,False
domain00,A,FirstOfferOrientedTBNegotiator,False,TimeBasedConcedingNegotiator,0.5872007999,0.759026922,0.4457012157440349,0.5447509246532104,True
domain00,A,FirstOfferOrientedTBNegotiator,False,BOA_Boulware,0.1512342996,0.5303167904,0.08020208836226402,0.1299246362286792,True
domain00,B,AspirationNegotiator,True,AspirationNegotiator,0.5351100974,0.5294229227,0.2832995517317897,0.45956693369953694,True
domain00,B,AspirationNegotiator,True,BoulwareTBNegotiator,0.5686656948,0.5799918415,0.32982146352492897,0.4970124254174787,True
domain00,B,AspirationNegotiator,True,NaiveTitForTatNegotiator,0.4,0.4,0.16000000000000003,0.32799999999999996,False
domain00,B,AspirationNegotiator,True,TimeBasedConcedingNegotiator,0.5686656948,0.5799918415,0.32982146352492897,0.4970124254174787,True
domain00,B,AspirationNegotiator,True,BOA_Boulware,0.5351100974,0.5294229227,0.2832995517317897,0.45956693369953694,True
domain00,B,BoulwareTBNegotiator,True,AspirationNegotiator,0.759026922,0.5872007999,0.4457012157440349,0.6650292101232105,True
domain00,B,BoulwareTBNegotiator,True,BoulwareTBNegotiator,0.759026922,0.5872007999,0.4457012157440349,0.6650292101232105,True
domain00,B,BoulwareTBNegotiator,True,NaiveTitForTatNegotiator,0.759026922,0.5872007999,0.4457012157440349,0.6650292101232105,True
domain00,B,BoulwareTBNegotiator,True,TimeBasedConcedingNegotiator,0.759026922,0.5872007999,0.4457012157440349,0.6650292101232105,True
domain00,B,BoulwareTBNegotiator,True,BOA_Boulware,0.3401933165,0.5302879349999999,0.1804004113075864,0.29225544494227595,True
domain00,B,NaiveTitForTatNegotiator,True,AspirationNegotiator,0.4,0.4,0.16000000000000003,0.32799999999999996,False
domain00,B,NaiveTitForTatNegotiator,True,BoulwareTBNegotiator,0.4,0.4,0.16000000000000003,0.32799999999999996,False
domain00,B,NaiveTitForTatNegotiator,True,NaiveTitForTatNegotiator,0.4,0.4,0.16000000000000003,0.32799999999999996,False
domain00,B,NaiveTitForTatNegotiator,True,TimeBasedConcedingNegotiator,0.4,0.4,0.16000000000000003,0.32799999999999996,False
domain00,B,NaiveTitForTatNegotiator,True,BOA_Boulware,0.2445874631,0.912100694,0.2230883948372094,0.23813774262116283,True
domain00,B,TimeBasedConcedingNegotiator,True,AspirationNegotiator,0.759026922,0.5872007999,0.4457012157440349,0.6650292101232105,True
domain00,B,TimeBasedConcedingNegotiator,True,BoulwareTBNegotiator,0.759026922,0.5872007999,0.4457012157440349,0.6650292101232105,True
domain00,B,TimeBasedConcedingNegotiator,True,NaiveTitForTatNegotiator,0.759026922,0.5872007999,0.4457012157440349,0.6650292101232105,True
domain00,B,TimeBasedConcedingNegotiator,True,TimeBasedConcedingNegotiator,0.759026922,0.5872007999,0.4457012157440349,0.6650292101232105,True
