num_issues,total_values,avg_values_per_issue,max_values_per_issue,min_values_per_issue,log_outcome_space_size,reserved_value,max_weight,min_weight,weight_std,weight_entropy,avg_value_std,weight_concentration,first_offer_utility,e,opponent_type,agent_utility,opponent_utility,nash_product,score,agreement_reached,rounds,domain_id,role
6,32,5.333333333333333,14,2,12.562242424221072,0.4,0.48433,0.0047,0.1499824227108704,0.7929785363031443,0.39832149678221623,0.3016350293999999,0.4277250184,0.7,BOA_Moderate,0.48310834999999996,0.2663333968,0.12866788787794328,0.37677621136338296,True,91,domain40,A
6,32,5.333333333333333,14,2,12.562242424221072,0.4,0.48433,0.0047,0.1499824227108704,0.7929785363031443,0.39832149678221623,0.3016350293999999,0.4277250184,1.0,BOA_Moderate,0.4596904955,0.3801728967,0.1747618672596933,0.37421190702790796,True,91,domain40,A
6,32,5.333333333333333,14,2,12.562242424221072,0.4,0.48433,0.0047,0.1499824227108704,0.7929785363031443,0.39832149678221623,0.3016350293999999,0.4277250184,1.5,BOA_Moderate,0.4403237757,0.7500961396000001,0.3302851643266663,0.40731219228799986,True,91,domain40,A
6,32,5.333333333333333,14,2,12.562242424221072,0.4,0.48433,0.0047,0.1499824227108704,0.7929785363031443,0.39832149678221623,0.3016350293999999,0.4277250184,2.0,BOA_Moderate,0.4307111948,0.29672702219999997,0.1278036502612081,0.33983893143836236,True,91,domain40,A
6,32,5.333333333333333,14,2,12.562242424221072,0.4,0.48433,0.0047,0.1499824227108704,0.7929785363031443,0.39832149678221623,0.3016350293999999,0.4277250184,0.05,MiCRONegotiator,0.48944332599999996,0.9737067457999999,0.4765742682129885,0.48558260866389646,True,96,domain40,A
6,32,5.333333333333333,14,2,12.562242424221072,0.4,0.48433,0.0047,0.1499824227108704,0.7929785363031443,0.39832149678221623,0.3016350293999999,0.4277250184,0.1,MiCRONegotiator,0.43675456199999996,0.9662441872,0.422011556765582,0.4323316604296745,True,96,domain40,A
6,32,5.333333333333333,14,2,12.562242424221072,0.4,0.48433,0.0047,0.1499824227108704,0.7929785363031443,0.39832149678221623,0.3016350293999999,0.4277250184,0.2,MiCRONegotiator,0.435661906,0.9435422112,0.41106539812284654,0.428282953636854,True,96,domain40,A
6,32,5.333333333333333,14,2,12.562242424221072,0.4,0.48433,0.0047,0.1499824227108704,0.7929785363031443,0.39832149678221623,0.3016350293999999,0.4277250184,0.3,MiCRONegotiator,0.2408600171,0.9207154468,0.22176353826048212,0.23513107344814466,True,96,domain40,A
6,32,5.333333333333333,14,2,12.562242424221072,0.4,0.48433,0.0047,0.1499824227108704,0.7929785363031443,0.39832149678221623,0.3016350293999999,0.4277250184,0.5,MiCRONegotiator,0.31578968690000003,0.9091044956,0.28708582402490646,0.307178528037472,True,96,domain40,A
6,32,5.333333333333333,14,2,12.562242424221072,0.4,0.48433,0.0047,0.1499824227108704,0.7929785363031443,0.39832149678221623,0.3016350293999999,0.4277250184,0.7,MiCRONegotiator,0.4284903955,0.9021411854000001,0.38655883332888485,0.4159109268486655,True,96,domain40,A
6,32,5.333333333333333,14,2,12.562242424221072,0.4,0.48433,0.0047,0.1499824227108704,0.7929785363031443,0.39832149678221623,0.3016350293999999,0.4277250184,1.0,MiCRONegotiator,0.32051233850000005,0.8954467068,0.2870017179985919,0.3104591523495776,True,96,domain40,A
6,32,5.333333333333333,14,2,12.562242424221072,0.4,0.48433,0.0047,0.1499824227108704,0.7929785363031443,0.39832149678221623,0.3016350293999999,0.4277250184,1.5,MiCRONegotiator,0.4264894199,0.8911115062,0.3800496293454533,0.41255748273363596,True,96,domain40,A
6,32,5.333333333333333,14,2,12.562242424221072,0.4,0.48433,0.0047,0.1499824227108704,0.7929785363031443,0.39832149678221623,0.3016350293999999,0.4277250184,2.0,MiCRONegotiator,0.4361717336,0.888116766,0.38737142946544556,0.42153164235963364,True,96,domain40,A
6,32,5.333333333333333,14,2,12.562242424221072,0.4,0.48433,0.0047,0.1499824227108704,0.7929785363031443,0.39832149678221623,0.3016350293999999,0.4,0.05,NiceNegotiator,1.0,0.18919956379999997,0.18919956379999997,0.7567598691399999,True,1,domain40,A
6,32,5.333333333333333,14,2,12.562242424221072,0.4,0.48433,0.0047,0.1499824227108704,0.7929785363031443,0.39832149678221623,0.3016350293999999,0.4,0.1,NiceNegotiator,1.0,0.18919956379999997,0.18919956379999997,0.7567598691399999,True,1,domain40,A
6,32,5.333333333333333,14,2,12.562242424221072,0.4,0.48433,0.0047,0.1499824227108704,0.7929785363031443,0.39832149678221623,0.3016350293999999,0.4,0.2,NiceNegotiator,1.0,0.18919956379999997,0.18919956379999997,0.7567598691399999,True,1,domain40,A
6,32,5.333333333333333,14,2,12.562242424221072,0.4,0.48433,0.0047,0.1499824227108704,0.7929785363031443,0.39832149678221623,0.3016350293999999,0.4,0.3,NiceNegotiator,1.0,0.18919956379999997,0.18919956379999997,0.7567598691399999,True,1,domain40,A
