domain_id,role,opponent,opponent_seen,score,utility,opp_utility,nash,agreement,rounds,predicted_e
domain04,A,TimeBasedConcedingNegotiator,True,0.594933849160578,0.6638085153,0.6541439056999999,0.43422629483526015,True,89,1.1311256289482117
domain04,A,BOA_Boulware,True,0.44463038151272455,0.47885067909999995,0.7617886669,0.3647830204757487,True,85,2.0
domain04,A,LinearTBNegotiator,True,0.5630016344327395,0.6806336746,0.4239091963999999,0.288526874042465,True,98,0.12957063496112822
domain04,A,ConcederTBNegotiator,True,0.6092886687522775,0.7338804918,0.43409576699999997,0.3185744149742582,True,81,0.3767043948173523
domain04,A,BOA_Hardliner,True,0.39395394793452226,0.42136067909999997,0.7831886669,0.33000490854840764,True,97,3.0
domain04,A,BOA_Conceder,True,0.7790261793087725,0.9891598927,0.2918781721,0.28871418139590815,True,91,0.12957063496112822
domain04,A,BOA_Moderate,True,0.5728263152061674,0.6608811709,0.5558714659,0.36736498525389144,True,88,0.37704187631607056
domain04,A,MiCRONegotiator,False,0.32799999999999996,0.4,0.4,0.16000000000000003,False,100,0.37704187631607056
domain04,A,NiceNegotiator,False,0.7444008903999999,1.0,0.14800296799999998,0.14800296799999998,True,1,0.5
domain04,A,RandomNegotiator,False,0.7444008903999999,1.0,0.14800296799999998,0.14800296799999998,True,1,0.5
domain04,A,ToughNegotiator,False,0.32799999999999996,0.4,0.4,0.16000000000000003,False,100,3.0
domain04,A,SimpleTitForTatNegotiator,False,0.32799999999999996,0.4,0.4,0.16000000000000003,False,100,3.0
domain04,A,TopFractionNegotiator,False,0.32799999999999996,0.4,0.4,0.16000000000000003,False,100,0.37704187631607056
domain04,A,FirstOfferOrientedTBNegotiator,False,0.594933849160578,0.6638085153,0.6541439056999999,0.43422629483526015,True,89,1.1311256289482117
domain04,B,AspirationNegotiator,True,0.4170946449297964,0.46550795339999995,0.6533298868,0.3041302584993217,True,89,1.364415317773819
domain04,B,BoulwareTBNegotiator,True,0.45954687450107434,0.5387062090999999,0.5101885885,0.27484176043691483,True,97,2.0
domain04,B,NaiveTitForTatNegotiator,True,0.32799999999999996,0.4,0.4,0.16000000000000003,False,100,3.0
domain04,B,TimeBasedConcedingNegotiator,True,0.45954687450107434,0.5387062090999999,0.5101885885,0.27484176043691483,True,97,2.0
domain04,B,BOA_Boulware,True,0.5424488835455805,0.5898839056999999,0.7319527808999999,0.43176716518526825,True,87,2.0
domain04,B,LinearTBNegotiator,True,0.5649302887969504,0.6714251544,0.471299395,0.3164422690565016,True,90,0.4548051059246063
domain04,B,ConcederTBNegotiator,True,0.6395850815318862,0.7668799999999999,0.44669779509999996,0.3425636051062879,True,74,0.43361154198646545
domain04,B,BOA_Hardliner,True,0.6268303906406079,0.765962968,0.39452,0.30218771013536,True,100,3.0
domain04,B,BOA_Conceder,True,0.5951893395613522,0.7042729679999999,0.4837057344,0.34066087320450766,True,88,0.4548051059246063
domain04,B,BOA_Moderate,True,0.5699556634908067,0.664868983,0.5241502615,0.34849125130268904,True,91,0.4548051059246063
domain04,B,MiCRONegotiator,False,0.32799999999999996,0.4,0.4,0.16000000000000003,False,100,0.4548051059246063
domain04,B,NiceNegotiator,False,0.7351616881299998,0.9999999999999999,0.1172056271,0.11720562709999999,True,1,0.5
domain04,B,RandomNegotiator,False,0.32799999999999996,0.4,0.4,0.16000000000000003,False,2,0.42178040742874146
