domain_id,agent_a,agent_b,utility_a,utility_b,nash,agreement,hybrid_e_a,hybrid_e_b
domain01,HybridAgent,NaiveTitForTatNegotiator,0.7119328584999999,0.9437391852,0.6718789357978968,True,0.30717262625694275,
domain01,HybridAgent,TimeBasedConcedingNegotiator,0.6115013108999999,0.8458017607,0.5172088854295781,True,0.9215178787708282,
domain01,HybridAgent,MiCRONegotiator,0.6149477899,0.9967008414999999,0.6129189796718951,True,0.30717262625694275,
domain01,HybridAgent,NiceNegotiator,0.9999999999999999,0.4066102402,0.4066102401999999,True,0.5,
domain01,AspirationNegotiator,HybridAgent,0.7856185055999999,0.5811918965,0.45659510919515983,True,,0.9754391312599182
domain01,AspirationNegotiator,BoulwareTBNegotiator,0.6690628071999999,0.7318310816999999,0.4896409579184144,True,,
domain01,AspirationNegotiator,NaiveTitForTatNegotiator,0.6690628071999999,0.7318310816999999,0.4896409579184144,True,,
domain01,AspirationNegotiator,TimeBasedConcedingNegotiator,0.6690628071999999,0.7318310816999999,0.4896409579184144,True,,
domain01,AspirationNegotiator,MiCRONegotiator,0.6458702365999999,0.8871196652,0.5729641880552366,True,,
domain01,AspirationNegotiator,NiceNegotiator,0.9999999999999999,0.4066102402,0.4066102401999999,True,,
domain01,BoulwareTBNegotiator,HybridAgent,0.7984394152,0.7216229215,0.5761721834373754,True,,0.6502927541732788
domain01,BoulwareTBNegotiator,AspirationNegotiator,0.7101389076,0.7120332987999999,0.5056425489846563,True,,
domain01,BoulwareTBNegotiator,NaiveTitForTatNegotiator,0.7984394152,0.7216229215,0.5761721834373754,True,,
domain01,BoulwareTBNegotiator,TimeBasedConcedingNegotiator,0.6217195128,0.7245617266,0.4504741636552788,True,,
domain01,BoulwareTBNegotiator,MiCRONegotiator,0.6458702365999999,0.8871196652,0.5729641880552366,True,,
domain01,BoulwareTBNegotiator,NiceNegotiator,0.9999999999999999,0.4066102402,0.4066102401999999,True,,
domain01,NaiveTitForTatNegotiator,HybridAgent,0.9999999999999999,0.4066102402,0.4066102401999999,True,,1.3005855083465576
domain01,NaiveTitForTatNegotiator,AspirationNegotiator,0.7101389076,0.7120332987999999,0.5056425489846563,True,,
domain01,NaiveTitForTatNegotiator,BoulwareTBNegotiator,0.7119328584999999,0.9437391852,0.6718789357978968,True,,
domain01,NaiveTitForTatNegotiator,TimeBasedConcedingNegotiator,0.7119328584999999,0.9437391852,0.6718789357978968,True,,
domain01,NaiveTitForTatNegotiator,MiCRONegotiator,0.4,0.4,0.16000000000000003,False,,
domain01,NaiveTitForTatNegotiator,NiceNegotiator,0.9999999999999999,0.4066102402,0.4066102401999999,True,,
domain01,TimeBasedConcedingNegotiator,HybridAgent,0.7984394152,0.7216229215,0.5761721834373754,True,,0.6502927541732788
domain01,TimeBasedConcedingNegotiator,AspirationNegotiator,0.7101389076,0.7120332987999999,0.5056425489846563,True,,
domain01,TimeBasedConcedingNegotiator,BoulwareTBNegotiator,0.6217195128,0.7245617266,0.4504741636552788,True,,
domain01,TimeBasedConcedingNegotiator,NaiveTitForTatNegotiator,0.7984394152,0.7216229215,0.5761721834373754,True,,
domain01,TimeBasedConcedingNegotiator,MiCRONegotiator,0.6458702365999999,0.8871196652,0.5729641880552366,True,,
domain01,TimeBasedConcedingNegotiator,NiceNegotiator,0.9999999999999999,0.4066102402,0.4066102401999999,True,,
domain01,MiCRONegotiator,HybridAgent,0.9999999999999999,0.4066102402,0.4066102401999999,True,,0.3251463770866394
domain01,MiCRONegotiator,AspirationNegotiator,0.8800794889,0.6562302402,0.5775347743959403,True,,
domain01,MiCRONegotiator,BoulwareTBNegotiator,0.8800794889,0.6562302402,0.5775347743959403,True,,
domain01,MiCRONegotiator,NaiveTitForTatNegotiator,0.4,0.4,0.16000000000000003,False,,
domain01,MiCRONegotiator,TimeBasedConcedingNegotiator,0.8800794889,0.6562302402,0.5775347743959403,True,,
domain01,MiCRONegotiator,NiceNegotiator,0.9999999999999999,0.4066102402,0.4066102401999999,True,,
domain01,NiceNegotiator,HybridAgent,0.28569367149999997,1.0,0.28569367149999997,True,,0.32184332609176636
domain01,NiceNegotiator,AspirationNegotiator,0.28569367149999997,1.0,0.28569367149999997,True,,
domain01,NiceNegotiator,BoulwareTBNegotiator,0.28569367149999997,1.0,0.28569367149999997,True,,
domain01,NiceNegotiator,NaiveTitForTatNegotiator,0.28569367149999997,1.0,0.28569367149999997,True,,
domain01,NiceNegotiator,TimeBasedConcedingNegotiator,0.28569367149999997,1.0,0.28569367149999997,True,,
domain01,NiceNegotiator,MiCRONegotiator,0.28569367149999997,1.0,0.28569367149999997,True,,
domain02,HybridAgent,AspirationNegotiator,0.8692929066,0.853210992,0.7416902631787493,True,0.4702320098876953,
domain02,HybridAgent,BoulwareTBNegotiator,0.6987511598,0.861484656,0.6019634025299041,True,0.705348014831543,
domain02,HybridAgent,NaiveTitForTatNegotiator,0.5526987941999999,0.5730778145,0.3167394170569212,True,0.23511600494384766,
domain02,HybridAgent,TimeBasedConcedingNegotiator,0.6987511598,0.861484656,0.6019634025299041,True,0.705348014831543,
domain02,HybridAgent,MiCRONegotiator,0.48204,0.9490533689999999,0.45748168599276,True,0.23511600494384766,
domain02,HybridAgent,NiceNegotiator,1.0,0.5525109281,0.5525109281,True,0.5,
domain02,AspirationNegotiator,HybridAgent,0.8759189242,0.7181915649,0.6290775828967224,True,,0.46556898951530457
domain02,AspirationNegotiator,BoulwareTBNegotiator,0.8844760175999999,0.8085816288000001,0.7151710589455454,True,,
domain02,AspirationNegotiator,NaiveTitForTatNegotiator,0.8759189242,0.7181915649,0.6290775828967224,True,,
domain02,AspirationNegotiator,TimeBasedConcedingNegotiator,0.8844760175999999,0.8085816288000001,0.7151710589455454,True,,
domain02,AspirationNegotiator,MiCRONegotiator,0.8653189242,0.8744816288,0.7567055022658797,True,,
domain02,AspirationNegotiator,NiceNegotiator,1.0,0.5525109281,0.5525109281,True,,
domain02,BoulwareTBNegotiator,HybridAgent,0.8798929066,0.6969209281,0.6132157810962785,True,,0.46556898951530457
domain02,BoulwareTBNegotiator,AspirationNegotiator,0.8692929066,0.853210992,0.7416902631787493,True,,
domain02,BoulwareTBNegotiator,NaiveTitForTatNegotiator,0.8692929066,0.853210992,0.7416902631787493,True,,
domain02,BoulwareTBNegotiator,TimeBasedConcedingNegotiator,0.8844760175999999,0.8085816288000001,0.7151710589455454,True,,
domain02,BoulwareTBNegotiator,MiCRONegotiator,0.8653189242,0.8744816288,0.7567055022658797,True,,
domain02,BoulwareTBNegotiator,NiceNegotiator,1.0,0.5525109281,0.5525109281,True,,
domain02,NaiveTitForTatNegotiator,HybridAgent,0.670342726,0.5175039106,0.3469049821472643,True,,0.9311379790306091
domain02,NaiveTitForTatNegotiator,AspirationNegotiator,0.7643689242,0.9529916288,0.7284371860774618,True,,
domain02,NaiveTitForTatNegotiator,BoulwareTBNegotiator,0.7643689242,0.9529916288,0.7284371860774618,True,,
domain02,NaiveTitForTatNegotiator,TimeBasedConcedingNegotiator,0.7643689242,0.9529916288,0.7284371860774618,True,,
domain02,NaiveTitForTatNegotiator,MiCRONegotiator,0.7643689242,0.9529916288,0.7284371860774618,True,,
domain02,NaiveTitForTatNegotiator,NiceNegotiator,1.0,0.5525109281,0.5525109281,True,,
domain02,TimeBasedConcedingNegotiator,HybridAgent,0.8798929066,0.6969209281,0.6132157810962785,True,,0.46556898951530457
domain02,TimeBasedConcedingNegotiator,AspirationNegotiator,0.8692929066,0.853210992,0.7416902631787493,True,,
domain02,TimeBasedConcedingNegotiator,BoulwareTBNegotiator,0.8844760175999999,0.8085816288000001,0.7151710589455454,True,,
domain02,TimeBasedConcedingNegotiator,NaiveTitForTatNegotiator,0.8692929066,0.853210992,0.7416902631787493,True,,
domain02,TimeBasedConcedingNegotiator,MiCRONegotiator,0.8653189242,0.8744816288,0.7567055022658797,True,,
domain02,TimeBasedConcedingNegotiator,NiceNegotiator,1.0,0.5525109281,0.5525109281,True,,
domain02,MiCRONegotiator,HybridAgent,0.9808429066,0.6184109281,0.6065639721908076,True,,0.23278449475765228
domain02,MiCRONegotiator,AspirationNegotiator,0.935599954,0.6562235495,0.6139627227259167,True,,
domain02,MiCRONegotiator,BoulwareTBNegotiator,0.935599954,0.6562235495,0.6139627227259167,True,,
domain02,MiCRONegotiator,NaiveTitForTatNegotiator,0.4,0.4,0.16000000000000003,False,,
domain02,MiCRONegotiator,TimeBasedConcedingNegotiator,0.935599954,0.6562235495,0.6139627227259167,True,,
domain02,MiCRONegotiator,NiceNegotiator,1.0,0.5525109281,0.5525109281,True,,
domain02,NiceNegotiator,HybridAgent,0.5600629066,0.9999999999999999,0.5600629065999999,True,,0.3114868700504303
domain02,NiceNegotiator,AspirationNegotiator,0.5600629066,0.9999999999999999,0.5600629065999999,True,,
domain02,NiceNegotiator,BoulwareTBNegotiator,0.5600629066,0.9999999999999999,0.5600629065999999,True,,
domain02,NiceNegotiator,NaiveTitForTatNegotiator,0.5600629066,0.9999999999999999,0.5600629065999999,True,,
domain02,NiceNegotiator,TimeBasedConcedingNegotiator,0.5600629066,0.9999999999999999,0.5600629065999999,True,,
domain02,NiceNegotiator,MiCRONegotiator,0.5600629066,0.9999999999999999,0.5600629065999999,True,,
domain02,HybridAgent,AspirationNegotiator,0.7181915649,0.8759189242,0.6290775828967224,True,0.46556898951530457,
domain02,HybridAgent,BoulwareTBNegotiator,0.6969209281,0.8798929066,0.6132157810962785,True,0.46556898951530457,
domain02,HybridAgent,NaiveTitForTatNegotiator,0.5175039106,0.670342726,0.3469049821472643,True,0.9311379790306091,
domain02,HybridAgent,TimeBasedConcedingNegotiator,0.6969209281,0.8798929066,0.6132157810962785,True,0.46556898951530457,
domain02,HybridAgent,MiCRONegotiator,0.5737815649,0.9960260176,0.5715013670596429,True,0.23278449475765228,
domain02,HybridAgent,NiceNegotiator,0.9999999999999999,0.5600629066,0.5600629065999999,True,0.5,
domain02,AspirationNegotiator,HybridAgent,0.853210992,0.8692929066,0.7416902631787493,True,,0.4702320098876953
domain02,AspirationNegotiator,BoulwareTBNegotiator,0.853210992,0.8692929066,0.7416902631787493,True,,
domain02,AspirationNegotiator,NaiveTitForTatNegotiator,0.9529916288,0.7643689242,0.7284371860774618,True,,
domain02,AspirationNegotiator,TimeBasedConcedingNegotiator,0.853210992,0.8692929066,0.7416902631787493,True,,
domain02,AspirationNegotiator,MiCRONegotiator,0.6562235495,0.935599954,0.6139627227259167,True,,
domain02,AspirationNegotiator,NiceNegotiator,0.9999999999999999,0.5600629066,0.5600629065999999,True,,
domain02,BoulwareTBNegotiator,HybridAgent,0.853210992,0.8692929066,0.7416902631787493,True,,0.705348014831543
domain02,BoulwareTBNegotiator,AspirationNegotiator,0.8085816288000001,0.8844760175999999,0.7151710589455454,True,,
domain02,BoulwareTBNegotiator,NaiveTitForTatNegotiator,0.9529916288,0.7643689242,0.7284371860774618,True,,
domain02,BoulwareTBNegotiator,TimeBasedConcedingNegotiator,0.8085816288000001,0.8844760175999999,0.7151710589455454,True,,
domain02,BoulwareTBNegotiator,MiCRONegotiator,0.6562235495,0.935599954,0.6139627227259167,True,,
domain02,BoulwareTBNegotiator,NiceNegotiator,0.9999999999999999,0.5600629066,0.5600629065999999,True,,
domain02,NaiveTitForTatNegotiator,HybridAgent,0.5730778145,0.5526987941999999,0.3167394170569212,True,,0.23511600494384766
domain02,NaiveTitForTatNegotiator,AspirationNegotiator,0.7181915649,0.8759189242,0.6290775828967224,True,,
domain02,NaiveTitForTatNegotiator,BoulwareTBNegotiator,0.853210992,0.8692929066,0.7416902631787493,True,,
domain02,NaiveTitForTatNegotiator,TimeBasedConcedingNegotiator,0.853210992,0.8692929066,0.7416902631787493,True,,
domain02,NaiveTitForTatNegotiator,MiCRONegotiator,0.4,0.4,0.16000000000000003,False,,
domain02,NaiveTitForTatNegotiator,NiceNegotiator,0.9999999999999999,0.5600629066,0.5600629065999999,True,,
domain02,TimeBasedConcedingNegotiator,HybridAgent,0.853210992,0.8692929066,0.7416902631787493,True,,0.705348014831543
domain02,TimeBasedConcedingNegotiator,AspirationNegotiator,0.8085816288000001,0.8844760175999999,0.7151710589455454,True,,
domain02,TimeBasedConcedingNegotiator,BoulwareTBNegotiator,0.8085816288000001,0.8844760175999999,0.7151710589455454,True,,
domain02,TimeBasedConcedingNegotiator,NaiveTitForTatNegotiator,0.9529916288,0.7643689242,0.7284371860774618,True,,
domain02,TimeBasedConcedingNegotiator,MiCRONegotiator,0.6562235495,0.935599954,0.6139627227259167,True,,
domain02,TimeBasedConcedingNegotiator,NiceNegotiator,0.9999999999999999,0.5600629066,0.5600629065999999,True,,
